,Date-Time,City,Country,Lat,Lon,Max-Temp,Humidity,Cloud Cov,Wind Sp
0,1595192370,hofn,IS,64.25,-15.21,57.2,50,75,5.82
1,1595192438,ribeira grande,PT,38.52,-28.7,71.6,73,75,6.93
2,1595192438,yinchuan,CN,38.47,106.27,74.39,29,66,6.46
3,1595192439,port alfred,ZA,-33.59,26.89,60.57,81,0,10.4
4,1595192439,chapais,CA,49.78,-74.85,73.4,73,75,12.75
5,1595192479,hudson bay,CA,52.85,-102.38,61.99,78,100,1.9
6,1595192479,thompson,CA,55.74,-97.86,77.0,36,75,11.41
7,1595191634,bredasdorp,ZA,-34.53,20.04,55.4,93,0,1.07
8,1595191636,busselton,AU,-33.65,115.33,45.0,76,62,8.12
9,1595191907,hilo,US,19.73,-155.09,84.2,62,1,6.93
10,1595192480,mataura,NZ,-46.19,168.86,39.0,83,100,3.0
11,1595191641,ushuaia,AR,-54.8,-68.3,33.8,100,40,6.93
12,1595191707,saint-philippe,RE,-21.36,55.77,68.0,72,75,16.11
13,1595191908,sungairaya,ID,0.7,108.9,77.47,80,76,2.26
14,1595191908,eenhana,NA,-17.47,16.33,59.0,40,0,3.36
